-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test

Model Confidence in true class 1:     76.066393%
Model prediction was class     1 with 76.066393% confidence

Model Confidence in true class 1:     76.066393%
Model prediction was class     1 with 76.066393% confidence

Model Confidence in true class 1:     76.066393%
Model prediction was class     1 with 76.066393% confidence

Model Confidence in true class 1:     76.066393%
Model prediction was class     1 with 76.066393% confidence

Model Confidence in true class 1:     65.624034%
Model prediction was class     1 with 65.624034% confidence

Model Confidence in true class 1:     62.080592%
Model prediction was class     1 with 62.080592% confidence

Model Confidence in true class 1:     62.080592%
Model prediction was class     1 with 62.080592% confidence

Model Confidence in true class 1:     62.080592%
Model prediction was class     1 with 62.080592% confidence

Model Confidence in true class 1:     62.080592%
Model prediction was class     1 with 62.080592% confidence

Model Confidence in true class 1:     62.080592%
Model prediction was class     1 with 62.080592% confidence

Model Confidence in true class 1:     62.080592%
Model prediction was class     1 with 62.080592% confidence

Model Confidence in true class 1:     60.080624%
Model prediction was class     1 with 60.080624% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Model Confidence in true class 1:     57.589155%
Model prediction was class     1 with 57.589155% confidence

Reached max iterations, attack unsuccessful on image 12570.png

---------------Testing image 04626.png---------------
Prior Model Confidence in true class 12:     99.994016% (before attack)
Prior Model prediction was class     12 with 99.994016% confidence (before attack)

Model Confidence in true class 12:     99.986076%
Model prediction was class     12 with 99.986076% confidence

Model Confidence in true class 12:     99.984896%
Model prediction was class     12 with 99.984896% confidence

Model Confidence in true class 12:     99.984896%
Model prediction was class     12 with 99.984896% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980432%
Model prediction was class     12 with 99.980432% confidence

Model Confidence in true class 12:     99.980253%
Model prediction was class     12 with 99.980253% confidence

Model Confidence in true class 12:     99.980241%
Model prediction was class     12 with 99.980241% confidence

Model Confidence in true class 12:     99.980241%
Model prediction was class     12 with 99.980241% confidence

Model Confidence in true class 12:     99.980158%
Model prediction was class     12 with 99.980158% confidence

Model Confidence in true class 12:     99.980158%
Model prediction was class     12 with 99.980158% confidence

Model Confidence in true class 12:     99.980134%
Model prediction was class     12 with 99.980134% confidence

Model Confidence in true class 12:     99.980134%
Model prediction was class     12 with 99.980134% confidence

Model Confidence in true class 12:     99.980110%
Model prediction was class     12 with 99.980110% confidence

Model Confidence in true class 12:     99.980110%
Model prediction was class     12 with 99.980110% confidence

Model Confidence in true class 12:     99.980110%
Model prediction was class     12 with 99.980110% confidence

Reached max iterations, attack unsuccessful on image 04626.png

---------------Testing image 08842.png---------------
Prior Model Confidence in true class 1:     99.153101% (before attack)
Prior Model prediction was class     1 with 99.153101% confidence (before attack)

Model Confidence in true class 1:     66.463035%
Model prediction was class     1 with 66.463035% confidence

Model Confidence in true class 1:     66.463035%
Model prediction was class     1 with 66.463035% confidence

Model Confidence in true class 1:     66.463035%
Model prediction was class     1 with 66.463035% confidence

Model Confidence in true class 1:     61.411268%
Model prediction was class     1 with 61.411268% confidence

Model Confidence in true class 1:     61.411268%
Model prediction was class     1 with 61.411268% confidence

Model Confidence in true class 1:     42.677331%
Model prediction was class     2 with 45.070228% confidence

Success on image 08842.png

---------------Testing image 09049.png---------------
Prior Model Confidence in true class 10:     99.447304% (before attack)
Prior Model prediction was class     10 with 99.447304% confidence (before attack)

Model Confidence in true class 10:     99.338818%
Model prediction was class     10 with 99.338818% confidence

Model Confidence in true class 10:     99.278790%
Model prediction was class     10 with 99.278790% confidence

Model Confidence in true class 10:     99.278790%
Model prediction was class     10 with 99.278790% confidence

Model Confidence in true class 10:     99.278790%
Model prediction was class     10 with 99.278790% confidence

Model Confidence in true class 10:     99.278790%
Model prediction was class     10 with 99.278790% confidence

Model Confidence in true class 10:     99.266267%
Model prediction was class     10 with 99.266267% confidence

Model Confidence in true class 10:     99.244964%
Model prediction was class     10 with 99.244964% confidence

Model Confidence in true class 10:     99.244964%
Model prediction was class     10 with 99.244964% confidence

Model Confidence in true class 10:     99.244964%
Model prediction was class     10 with 99.244964% confidence

Model Confidence in true class 10:     99.226260%
Model prediction was class     10 with 99.226260% confidence

Model Confidence in true class 10:     99.226260%
Model prediction was class     10 with 99.226260% confidence

Model Confidence in true class 10:     99.212486%
Model prediction was class     10 with 99.212486% confidence

Model Confidence in true class 10:     99.206251%
Model prediction was class     10 with 99.206251% confidence

Model Confidence in true class 10:     99.206251%
Model prediction was class     10 with 99.206251% confidence

Model Confidence in true class 10:     99.203342%
Model prediction was class     10 with 99.203342% confidence

Model Confidence in true class 10:     99.170130%
Model prediction was class     10 with 99.170130% confidence

Model Confidence in true class 10:     99.170130%
Model prediction was class     10 with 99.170130% confidence

Model Confidence in true class 10:     99.170130%
Model prediction was class     10 with 99.170130% confidence

Model Confidence in true class 10:     99.155265%
Model prediction was class     10 with 99.155265% confidence

Model Confidence in true class 10:     99.155265%
Model prediction was class     10 with 99.155265% confidence

Reached max iterations, attack unsuccessful on image 09049.png

---------------Testing image 08743.png---------------
Prior Model Confidence in true class 17:     99.596369% (before attack)
Prior Model prediction was class     17 with 99.596369% confidence (before attack)

Model Confidence in true class 17:     99.133754%
Model prediction was class     17 with 99.133754% confidence

Model Confidence in true class 17:     98.860371%
Model prediction was class     17 with 98.860371% confidence

Model Confidence in true class 17:     98.806608%
Model prediction was class     17 with 98.806608% confidence

Model Confidence in true class 17:     98.790216%
Model prediction was class     17 with 98.790216% confidence

Model Confidence in true class 17:     98.790216%
Model prediction was class     17 with 98.790216% confidence

Model Confidence in true class 17:     98.321646%
Model prediction was class     17 with 98.321646% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.275858%
Model prediction was class     17 with 98.275858% confidence

Model Confidence in true class 17:     98.256898%
Model prediction was class     17 with 98.256898% confidence

Model Confidence in true class 17:     98.256898%
Model prediction was class     17 with 98.256898% confidence

Model Confidence in true class 17:     98.239487%
Model prediction was class     17 with 98.239487% confidence

Model Confidence in true class 17:     98.239487%
Model prediction was class     17 with 98.239487% confidence

Reached max iterations, attack unsuccessful on image 08743.png

50 samples tested so far
---------------Testing image 02064.png---------------
Prior Model Confidence in true class 5:     96.082139% (before attack)
Prior Model prediction was class     5 with 96.082139% confidence (before attack)

Model Confidence in true class 5:     94.458574%
Model prediction was class     5 with 94.458574% confidence

Model Confidence in true class 5:     94.349581%
Model prediction was class     5 with 94.349581% confidence

Model Confidence in true class 5:     94.349581%
Model prediction was class     5 with 94.349581% confidence

Model Confidence in true class 5:     94.323683%
Model prediction was class     5 with 94.323683% confidence

Model Confidence in true class 5:     94.229013%
Model prediction was class     5 with 94.229013% confidence

Model Confidence in true class 5:     94.229013%
Model prediction was class     5 with 94.229013% confidence

Model Confidence in true class 5:     94.229013%
Model prediction was class     5 with 94.229013% confidence

Model Confidence in true class 5:     93.958539%
Model prediction was class     5 with 93.958539% confidence

Model Confidence in true class 5:     93.798375%
Model prediction was class     5 with 93.798375% confidence

Model Confidence in true class 5:     93.572783%
Model prediction was class     5 with 93.572783% confidence

Model Confidence in true class 5:     93.572783%
Model prediction was class     5 with 93.572783% confidence

Model Confidence in true class 5:     93.572783%
Model prediction was class     5 with 93.572783% confidence

Model Confidence in true class 5:     93.572783%
Model prediction was class     5 with 93.572783% confidence

Model Confidence in true class 5:     93.572783%
Model prediction was class     5 with 93.572783% confidence

Model Confidence in true class 5:     93.337846%
Model prediction was class     5 with 93.337846% confidence

Model Confidence in true class 5:     93.337846%
Model prediction was class     5 with 93.337846% confidence

Model Confidence in true class 5:     93.299347%
Model prediction was class     5 with 93.299347% confidence

Model Confidence in true class 5:     93.299347%
Model prediction was class     5 with 93.299347% confidence

Model Confidence in true class 5:     93.107790%
Model prediction was class     5 with 93.107790% confidence

Model Confidence in true class 5:     93.107790%
Model prediction was class     5 with 93.107790% confidence

Reached max iterations, attack unsuccessful on image 02064.png

---------------Testing image 08752.png---------------
Prior Model Confidence in true class 9:     99.993169% (before attack)
Prior Model prediction was class     9 with 99.993169% confidence (before attack)

Model Confidence in true class 9:     99.989247%
Model prediction was class     9 with 99.989247% confidence

Model Confidence in true class 9:     99.989080%
Model prediction was class     9 with 99.989080% confidence

Model Confidence in true class 9:     99.988663%
Model prediction was class     9 with 99.988663% confidence

Model Confidence in true class 9:     99.983227%
Model prediction was class     9 with 99.983227% confidence

Model Confidence in true class 9:     99.983227%
Model prediction was class     9 with 99.983227% confidence

Model Confidence in true class 9:     99.983227%
Model prediction was class     9 with 99.983227% confidence

Model Confidence in true class 9:     99.983227%
Model prediction was class     9 with 99.983227% confidence

Model Confidence in true class 9:     99.982649%
Model prediction was class     9 with 99.982649% confidence

Model Confidence in true class 9:     99.982649%
Model prediction was class     9 with 99.982649% confidence

Model Confidence in true class 9:     99.982649%
Model prediction was class     9 with 99.982649% confidence

Model Confidence in true class 9:     99.982363%
Model prediction was class     9 with 99.982363% confidence

Model Confidence in true class 9:     99.981731%
Model prediction was class     9 with 99.981731% confidence

Model Confidence in true class 9:     99.981731%
Model prediction was class     9 with 99.981731% confidence

Model Confidence in true class 9:     99.981731%
Model prediction was class     9 with 99.981731% confidence

Model Confidence in true class 9:     99.981028%
Model prediction was class     9 with 99.981028% confidence

Model Confidence in true class 9:     99.981028%
Model prediction was class     9 with 99.981028% confidence

Model Confidence in true class 9:     99.981028%
Model prediction was class     9 with 99.981028% confidence

Model Confidence in true class 9:     99.981028%
Model prediction was class     9 with 99.981028% confidence

Model Confidence in true class 9:     99.981004%
Model prediction was class     9 with 99.981004% confidence

Model Confidence in true class 9:     99.981004%
Model prediction was class     9 with 99.981004% confidence

Reached max iterations, attack unsuccessful on image 08752.png

---------------Testing image 05702.png---------------
Prior Model Confidence in true class 12:     99.991965% (before attack)
Prior Model prediction was class     12 with 99.991965% confidence (before attack)

Model Confidence in true class 12:     99.989665%
Model prediction was class     12 with 99.989665% confidence

Model Confidence in true class 12:     99.989605%
Model prediction was class     12 with 99.989605% confidence

Model Confidence in true class 12:     99.989462%
Model prediction was class     12 with 99.989462% confidence

Model Confidence in true class 12:     99.989414%
Model prediction was class     12 with 99.989414% confidence

Model Confidence in true class 12:     99.989414%
Model prediction was class     12 with 99.989414% confidence

Model Confidence in true class 12:     99.989319%
Model prediction was class     12 with 99.989319% confidence

Model Confidence in true class 12:     99.989188%
Model prediction was class     12 with 99.989188% confidence

Model Confidence in true class 12:     99.989188%
Model prediction was class     12 with 99.989188% confidence

Model Confidence in true class 12:     99.989188%
Model prediction was class     12 with 99.989188% confidence

Model Confidence in true class 12:     99.989188%
Model prediction was class     12 with 99.989188% confidence

Model Confidence in true class 12:     99.988854%
Model prediction was class     12 with 99.988854% confidence

Model Confidence in true class 12:     99.988854%
Model prediction was class     12 with 99.988854% confidence

Model Confidence in true class 12:     99.988854%
Model prediction was class     12 with 99.988854% confidence

Model Confidence in true class 12:     99.988854%
Model prediction was class     12 with 99.988854% confidence

Model Confidence in true class 12:     99.988592%
Model prediction was class     12 with 99.988592% confidence

Model Confidence in true class 12:     99.988592%
Model prediction was class     12 with 99.988592% confidence

Model Confidence in true class 12:     99.988592%
Model prediction was class     12 with 99.988592% confidence

Model Confidence in true class 12:     99.988592%
Model prediction was class     12 with 99.988592% confidence

Model Confidence in true class 12:     99.988592%
Model prediction was class     12 with 99.988592% confidence

Model Confidence in true class 12:     99.988592%
Model prediction was class     12 with 99.988592% confidence

Reached max iterations, attack unsuccessful on image 05702.png

---------------Testing image 12470.png---------------
Prior Model Confidence in true class 29:     71.200979% (before attack)
Prior Model prediction was class     29 with 71.200979% confidence (before attack)

Model Confidence in true class 29:     42.989692%
Model prediction was class     20 with 53.274310% confidence

Success on image 12470.png

---------------Testing image 07432.png---------------
Prior Model Confidence in true class 17:     99.806494% (before attack)
Prior Model prediction was class     17 with 99.806494% confidence (before attack)

Model Confidence in true class 17:     99.164832%
Model prediction was class     17 with 99.164832% confidence

Model Confidence in true class 17:     99.062145%
Model prediction was class     17 with 99.062145% confidence

Model Confidence in true class 17:     99.062145%
Model prediction was class     17 with 99.062145% confidence

Model Confidence in true class 17:     98.709261%
Model prediction was class     17 with 98.709261% confidence

Model Confidence in true class 17:     98.491108%
Model prediction was class     17 with 98.491108% confidence

Model Confidence in true class 17:     97.987205%
Model prediction was class     17 with 97.987205% confidence

Model Confidence in true class 17:     97.987205%
Model prediction was class     17 with 97.987205% confidence

Model Confidence in true class 17:     97.925550%
Model prediction was class     17 with 97.925550% confidence

Model Confidence in true class 17:     97.925550%
Model prediction was class     17 with 97.925550% confidence

Model Confidence in true class 17:     97.656691%
Model prediction was class     17 with 97.656691% confidence

Model Confidence in true class 17:     97.656691%
Model prediction was class     17 with 97.656691% confidence

Model Confidence in true class 17:     97.656691%
Model prediction was class     17 with 97.656691% confidence

Model Confidence in true class 17:     97.622585%
Model prediction was class     17 with 97.622585% confidence

Model Confidence in true class 17:     97.622585%
Model prediction was class     17 with 97.622585% confidence

Model Confidence in true class 17:     97.597367%
Model prediction was class     17 with 97.597367% confidence

Model Confidence in true class 17:     97.597367%
Model prediction was class     17 with 97.597367% confidence

Model Confidence in true class 17:     97.575867%
Model prediction was class     17 with 97.575867% confidence

Model Confidence in true class 17:     97.546208%
Model prediction was class     17 with 97.546208% confidence

Model Confidence in true class 17:     97.542214%
Model prediction was class     17 with 97.542214% confidence

Model Confidence in true class 17:     97.542214%
Model prediction was class     17 with 97.542214% confidence

Reached max iterations, attack unsuccessful on image 07432.png

---------------Testing image 03621.png---------------
Prior Model Confidence in true class 23:     98.712569% (before attack)
Prior Model prediction was class     23 with 98.712569% confidence (before attack)

Model Confidence in true class 23:     98.604089%
Model prediction was class     23 with 98.604089% confidence

Model Confidence in true class 23:     98.604089%
Model prediction was class     23 with 98.604089% confidence

Model Confidence in true class 23:     98.597252%
Model prediction was class     23 with 98.597252% confidence

Model Confidence in true class 23:     98.549139%
Model prediction was class     23 with 98.549139% confidence

Model Confidence in true class 23:     98.549139%
Model prediction was class     23 with 98.549139% confidence

Model Confidence in true class 23:     98.549139%
Model prediction was class     23 with 98.549139% confidence

Model Confidence in true class 23:     98.516995%
Model prediction was class     23 with 98.516995% confidence

Model Confidence in true class 23:     98.516995%
Model prediction was class     23 with 98.516995% confidence

Model Confidence in true class 23:     98.516995%
Model prediction was class     23 with 98.516995% confidence

Model Confidence in true class 23:     98.516995%
Model prediction was class     23 with 98.516995% confidence

Model Confidence in true class 23:     98.516995%
Model prediction was class     23 with 98.516995% confidence

Model Confidence in true class 23:     98.516995%
Model prediction was class     23 with 98.516995% confidence

Model Confidence in true class 23:     98.490787%
Model prediction was class     23 with 98.490787% confidence

Model Confidence in true class 23:     98.490787%
Model prediction was class     23 with 98.490787% confidence

Model Confidence in true class 23:     98.490787%
Model prediction was class     23 with 98.490787% confidence

Model Confidence in true class 23:     98.490787%
Model prediction was class     23 with 98.490787% confidence

Model Confidence in true class 23:     98.442644%
Model prediction was class     23 with 98.442644% confidence

Model Confidence in true class 23:     98.442644%
Model prediction was class     23 with 98.442644% confidence

Model Confidence in true class 23:     98.442644%
Model prediction was class     23 with 98.442644% confidence

Model Confidence in true class 23:     98.442644%
Model prediction was class     23 with 98.442644% confidence

Reached max iterations, attack unsuccessful on image 03621.png

---------------Testing image 07791.png---------------
Prior Model Confidence in true class 9:     99.672061% (before attack)
Prior Model prediction was class     9 with 99.672061% confidence (before attack)

Model Confidence in true class 9:     97.123545%
Model prediction was class     9 with 97.123545% confidence

Model Confidence in true class 9:     97.123545%
Model prediction was class     9 with 97.123545% confidence

Model Confidence in true class 9:     95.422041%
Model prediction was class     9 with 95.422041% confidence

Model Confidence in true class 9:     95.422041%
Model prediction was class     9 with 95.422041% confidence

Model Confidence in true class 9:     94.556159%
Model prediction was class     9 with 94.556159% confidence

Model Confidence in true class 9:     94.556159%
Model prediction was class     9 with 94.556159% confidence

Model Confidence in true class 9:     93.709642%
Model prediction was class     9 with 93.709642% confidence

Model Confidence in true class 9:     92.899507%
Model prediction was class     9 with 92.899507% confidence

Model Confidence in true class 9:     92.899507%
Model prediction was class     9 with 92.899507% confidence

Model Confidence in true class 9:     92.899507%
Model prediction was class     9 with 92.899507% confidence

Model Confidence in true class 9:     92.877823%
Model prediction was class     9 with 92.877823% confidence

Model Confidence in true class 9:     92.877823%
Model prediction was class     9 with 92.877823% confidence

Model Confidence in true class 9:     92.836207%
Model prediction was class     9 with 92.836207% confidence

Model Confidence in true class 9:     92.813236%
Model prediction was class     9 with 92.813236% confidence

Model Confidence in true class 9:     92.806852%
Model prediction was class     9 with 92.806852% confidence

Model Confidence in true class 9:     92.806852%
Model prediction was class     9 with 92.806852% confidence

Model Confidence in true class 9:     92.806852%
Model prediction was class     9 with 92.806852% confidence

Model Confidence in true class 9:     92.806852%
Model prediction was class     9 with 92.806852% confidence

Model Confidence in true class 9:     92.743433%
Model prediction was class     9 with 92.743433% confidence

Model Confidence in true class 9:     92.743433%
Model prediction was class     9 with 92.743433% confidence

Reached max iterations, attack unsuccessful on image 07791.png

---------------Testing image 08539.png---------------
Prior Model Confidence in true class 5:     99.930656% (before attack)
Prior Model prediction was class     5 with 99.930656% confidence (before attack)

Model Confidence in true class 5:     99.718034%
Model prediction was class     5 with 99.718034% confidence

Model Confidence in true class 5:     99.594182%
Model prediction was class     5 with 99.594182% confidence

Model Confidence in true class 5:     99.594182%
Model prediction was class     5 with 99.594182% confidence

Model Confidence in true class 5:     99.572504%
Model prediction was class     5 with 99.572504% confidence

Model Confidence in true class 5:     99.444962%
Model prediction was class     5 with 99.444962% confidence

Model Confidence in true class 5:     99.444962%
Model prediction was class     5 with 99.444962% confidence

Model Confidence in true class 5:     99.389815%
Model prediction was class     5 with 99.389815% confidence

Model Confidence in true class 5:     98.967594%
Model prediction was class     5 with 98.967594% confidence

Model Confidence in true class 5:     98.967594%
Model prediction was class     5 with 98.967594% confidence

Model Confidence in true class 5:     98.967594%
Model prediction was class     5 with 98.967594% confidence

Model Confidence in true class 5:     98.967594%
Model prediction was class     5 with 98.967594% confidence

Model Confidence in true class 5:     98.845702%
Model prediction was class     5 with 98.845702% confidence

Model Confidence in true class 5:     98.845702%
Model prediction was class     5 with 98.845702% confidence

Model Confidence in true class 5:     98.759848%
Model prediction was class     5 with 98.759848% confidence

Model Confidence in true class 5:     98.759848%
Model prediction was class     5 with 98.759848% confidence

Model Confidence in true class 5:     98.714614%
Model prediction was class     5 with 98.714614% confidence

Model Confidence in true class 5:     98.649341%
Model prediction was class     5 with 98.649341% confidence

Model Confidence in true class 5:     98.649341%
Model prediction was class     5 with 98.649341% confidence

Model Confidence in true class 5:     98.649341%
Model prediction was class     5 with 98.649341% confidence

Model Confidence in true class 5:     98.649341%
Model prediction was class     5 with 98.649341% confidence

Reached max iterations, attack unsuccessful on image 08539.png

---------------Testing image 05253.png---------------
Prior Model Confidence in true class 12:     99.994338% (before attack)
Prior Model prediction was class     12 with 99.994338% confidence (before attack)

Model Confidence in true class 12:     99.987626%
Model prediction was class     12 with 99.987626% confidence

Model Confidence in true class 12:     99.987626%
Model prediction was class     12 with 99.987626% confidence

Model Confidence in true class 12:     99.987626%
Model prediction was class     12 with 99.987626% confidence

Model Confidence in true class 12:     99.982810%
Model prediction was class     12 with 99.982810% confidence

Model Confidence in true class 12:     99.982810%
Model prediction was class     12 with 99.982810% confidence

Model Confidence in true class 12:     99.980980%
Model prediction was class     12 with 99.980980% confidence

Model Confidence in true class 12:     99.980980%
Model prediction was class     12 with 99.980980% confidence

Model Confidence in true class 12:     99.980980%
Model prediction was class     12 with 99.980980% confidence

Model Confidence in true class 12:     99.979180%
Model prediction was class     12 with 99.979180% confidence

Model Confidence in true class 12:     99.979180%
Model prediction was class     12 with 99.979180% confidence

Model Confidence in true class 12:     99.977726%
Model prediction was class     12 with 99.977726% confidence

Model Confidence in true class 12:     99.977726%
Model prediction was class     12 with 99.977726% confidence

Model Confidence in true class 12:     99.977726%
Model prediction was class     12 with 99.977726% confidence

Model Confidence in true class 12:     99.977320%
Model prediction was class     12 with 99.977320% confidence

Model Confidence in true class 12:     99.977320%
Model prediction was class     12 with 99.977320% confidence

Model Confidence in true class 12:     99.977320%
Model prediction was class     12 with 99.977320% confidence

Model Confidence in true class 12:     99.977320%
Model prediction was class     12 with 99.977320% confidence

Model Confidence in true class 12:     99.977320%
Model prediction was class     12 with 99.977320% confidence

Model Confidence in true class 12:     99.977154%
Model prediction was class     12 with 99.977154% confidence

Model Confidence in true class 12:     99.977082%
Model prediction was class     12 with 99.977082% confidence

Reached max iterations, attack unsuccessful on image 05253.png

---------------Testing image 10679.png---------------
Prior Model Confidence in true class 4:     99.795341% (before attack)
Prior Model prediction was class     4 with 99.795341% confidence (before attack)

Model Confidence in true class 4:     97.107172%
Model prediction was class     4 with 97.107172% confidence

Model Confidence in true class 4:     89.123988%
Model prediction was class     4 with 89.123988% confidence

Model Confidence in true class 4:     89.123988%
Model prediction was class     4 with 89.123988% confidence

Model Confidence in true class 4:     89.123988%
Model prediction was class     4 with 89.123988% confidence

Model Confidence in true class 4:     88.947153%
Model prediction was class     4 with 88.947153% confidence

Model Confidence in true class 4:     88.947153%
Model prediction was class     4 with 88.947153% confidence

Model Confidence in true class 4:     88.794166%
Model prediction was class     4 with 88.794166% confidence

Model Confidence in true class 4:     88.430625%
Model prediction was class     4 with 88.430625% confidence

Model Confidence in true class 4:     88.140470%
Model prediction was class     4 with 88.140470% confidence

Model Confidence in true class 4:     85.659909%
Model prediction was class     4 with 85.659909% confidence

Model Confidence in true class 4:     83.342272%
Model prediction was class     4 with 83.342272% confidence

Model Confidence in true class 4:     82.996053%
Model prediction was class     4 with 82.996053% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Model Confidence in true class 4:     82.572287%
Model prediction was class     4 with 82.572287% confidence

Reached max iterations, attack unsuccessful on image 10679.png

60 samples tested so far
---------------Testing image 08308.png---------------
Prior Model Confidence in true class 12:     49.592024% (before attack)
Prior Model prediction was class     12 with 49.592024% confidence (before attack)

Model Confidence in true class 12:     22.495984%
Model prediction was class     13 with 50.356495% confidence

Success on image 08308.png

---------------Testing image 04724.png---------------
Prior Model Confidence in true class 25:     99.971563% (before attack)
Prior Model prediction was class     25 with 99.971563% confidence (before attack)

Model Confidence in true class 25:     99.963975%
Model prediction was class     25 with 99.963975% confidence

Model Confidence in true class 25:     99.961722%
Model prediction was class     25 with 99.961722% confidence

Model Confidence in true class 25:     99.949002%
Model prediction was class     25 with 99.949002% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.935299%
Model prediction was class     25 with 99.935299% confidence

Model Confidence in true class 25:     99.931300%
Model prediction was class     25 with 99.931300% confidence

Model Confidence in true class 25:     99.931300%
Model prediction was class     25 with 99.931300% confidence

Model Confidence in true class 25:     99.931300%
Model prediction was class     25 with 99.931300% confidence

Model Confidence in true class 25:     99.931300%
Model prediction was class     25 with 99.931300% confidence

Model Confidence in true class 25:     99.931300%
Model prediction was class     25 with 99.931300% confidence

Model Confidence in true class 25:     99.931300%
Model prediction was class     25 with 99.931300% confidence

Reached max iterations, attack unsuccessful on image 04724.png

---------------Testing image 09603.png---------------
Prior Model Confidence in true class 16:     84.225857% (before attack)
Prior Model prediction was class     16 with 84.225857% confidence (before attack)

Model Confidence in true class 16:     73.418289%
Model prediction was class     16 with 73.418289% confidence

Model Confidence in true class 16:     67.235953%
Model prediction was class     16 with 67.235953% confidence

Model Confidence in true class 16:     67.235953%
Model prediction was class     16 with 67.235953% confidence

Model Confidence in true class 16:     66.932505%
Model prediction was class     16 with 66.932505% confidence

Model Confidence in true class 16:     66.699100%
Model prediction was class     16 with 66.699100% confidence

Model Confidence in true class 16:     66.594750%
Model prediction was class     16 with 66.594750% confidence

Model Confidence in true class 16:     66.136301%
Model prediction was class     16 with 66.136301% confidence

Model Confidence in true class 16:     64.048946%
Model prediction was class     16 with 64.048946% confidence

Model Confidence in true class 16:     62.191987%
Model prediction was class     16 with 62.191987% confidence

Model Confidence in true class 16:     62.191987%
Model prediction was class     16 with 62.191987% confidence

Model Confidence in true class 16:     62.191987%
Model prediction was class     16 with 62.191987% confidence

Model Confidence in true class 16:     62.191987%
Model prediction was class     16 with 62.191987% confidence

Model Confidence in true class 16:     61.167353%
Model prediction was class     16 with 61.167353% confidence

