-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test

Model Confidence in true class 12:     99.941230%
Model prediction was class     12 with 99.941230% confidence

Model Confidence in true class 12:     99.941230%
Model prediction was class     12 with 99.941230% confidence

Model Confidence in true class 12:     99.939203%
Model prediction was class     12 with 99.939203% confidence

Model Confidence in true class 12:     99.938703%
Model prediction was class     12 with 99.938703% confidence

Model Confidence in true class 12:     99.938703%
Model prediction was class     12 with 99.938703% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937975%
Model prediction was class     12 with 99.937975% confidence

Model Confidence in true class 12:     99.937755%
Model prediction was class     12 with 99.937755% confidence

Model Confidence in true class 12:     99.937624%
Model prediction was class     12 with 99.937624% confidence

Reached max iterations, attack unsuccessful on image 06784.png

---------------Testing image 02900.png---------------
Prior Model Confidence in true class 13:     99.978763% (before attack)
Prior Model prediction was class     13 with 99.978763% confidence (before attack)

Model Confidence in true class 13:     99.946922%
Model prediction was class     13 with 99.946922% confidence

Model Confidence in true class 13:     99.946159%
Model prediction was class     13 with 99.946159% confidence

Model Confidence in true class 13:     99.946159%
Model prediction was class     13 with 99.946159% confidence

Model Confidence in true class 13:     99.936265%
Model prediction was class     13 with 99.936265% confidence

Model Confidence in true class 13:     99.934441%
Model prediction was class     13 with 99.934441% confidence

Model Confidence in true class 13:     99.932313%
Model prediction was class     13 with 99.932313% confidence

Model Confidence in true class 13:     99.932313%
Model prediction was class     13 with 99.932313% confidence

Model Confidence in true class 13:     99.932313%
Model prediction was class     13 with 99.932313% confidence

Model Confidence in true class 13:     99.932313%
Model prediction was class     13 with 99.932313% confidence

Model Confidence in true class 13:     99.932313%
Model prediction was class     13 with 99.932313% confidence

Model Confidence in true class 13:     99.930048%
Model prediction was class     13 with 99.930048% confidence

Model Confidence in true class 13:     99.929678%
Model prediction was class     13 with 99.929678% confidence

Model Confidence in true class 13:     99.922931%
Model prediction was class     13 with 99.922931% confidence

Model Confidence in true class 13:     99.918634%
Model prediction was class     13 with 99.918634% confidence

Model Confidence in true class 13:     99.917430%
Model prediction was class     13 with 99.917430% confidence

Model Confidence in true class 13:     99.914968%
Model prediction was class     13 with 99.914968% confidence

Model Confidence in true class 13:     99.914968%
Model prediction was class     13 with 99.914968% confidence

Model Confidence in true class 13:     99.914968%
Model prediction was class     13 with 99.914968% confidence

Model Confidence in true class 13:     99.914968%
Model prediction was class     13 with 99.914968% confidence

Model Confidence in true class 13:     99.913186%
Model prediction was class     13 with 99.913186% confidence

Reached max iterations, attack unsuccessful on image 02900.png

---------------Testing image 08549.png---------------
Prior Model Confidence in true class 30:     73.048258% (before attack)
Prior Model prediction was class     30 with 73.048258% confidence (before attack)

Model Confidence in true class 30:     60.491830%
Model prediction was class     30 with 60.491830% confidence

Model Confidence in true class 30:     60.491830%
Model prediction was class     30 with 60.491830% confidence

Model Confidence in true class 30:     59.244359%
Model prediction was class     30 with 59.244359% confidence

Model Confidence in true class 30:     54.107308%
Model prediction was class     30 with 54.107308% confidence

Model Confidence in true class 30:     54.107308%
Model prediction was class     30 with 54.107308% confidence

Model Confidence in true class 30:     54.107308%
Model prediction was class     30 with 54.107308% confidence

Model Confidence in true class 30:     48.233065%
Model prediction was class     11 with 49.850073% confidence

Success on image 08549.png

---------------Testing image 02152.png---------------
Prior Model Confidence in true class 31:     99.858981% (before attack)
Prior Model prediction was class     31 with 99.858981% confidence (before attack)

Model Confidence in true class 31:     99.461985%
Model prediction was class     31 with 99.461985% confidence

Model Confidence in true class 31:     99.461985%
Model prediction was class     31 with 99.461985% confidence

Model Confidence in true class 31:     99.298394%
Model prediction was class     31 with 99.298394% confidence

Model Confidence in true class 31:     99.298394%
Model prediction was class     31 with 99.298394% confidence

Model Confidence in true class 31:     99.298394%
Model prediction was class     31 with 99.298394% confidence

Model Confidence in true class 31:     99.146163%
Model prediction was class     31 with 99.146163% confidence

Model Confidence in true class 31:     99.146163%
Model prediction was class     31 with 99.146163% confidence

Model Confidence in true class 31:     99.146163%
Model prediction was class     31 with 99.146163% confidence

Model Confidence in true class 31:     99.146163%
Model prediction was class     31 with 99.146163% confidence

Model Confidence in true class 31:     99.042481%
Model prediction was class     31 with 99.042481% confidence

Model Confidence in true class 31:     98.973268%
Model prediction was class     31 with 98.973268% confidence

Model Confidence in true class 31:     98.872083%
Model prediction was class     31 with 98.872083% confidence

Model Confidence in true class 31:     98.872083%
Model prediction was class     31 with 98.872083% confidence

Model Confidence in true class 31:     98.872083%
Model prediction was class     31 with 98.872083% confidence

Model Confidence in true class 31:     98.868036%
Model prediction was class     31 with 98.868036% confidence

Model Confidence in true class 31:     98.819864%
Model prediction was class     31 with 98.819864% confidence

Model Confidence in true class 31:     98.819864%
Model prediction was class     31 with 98.819864% confidence

Model Confidence in true class 31:     98.819864%
Model prediction was class     31 with 98.819864% confidence

Model Confidence in true class 31:     98.819864%
Model prediction was class     31 with 98.819864% confidence

Model Confidence in true class 31:     98.819864%
Model prediction was class     31 with 98.819864% confidence

Reached max iterations, attack unsuccessful on image 02152.png

---------------Testing image 01991.png---------------
Prior Model Confidence in true class 2:     48.729149% (before attack)
Prior Model prediction was class     2 with 48.729149% confidence (before attack)

Model Confidence in true class 2:     3.759214%
Model prediction was class     5 with 94.914937% confidence

Success on image 01991.png

---------------Testing image 06990.png---------------
Prior Model Confidence in true class 2:     67.194194% (before attack)
Prior Model prediction was class     2 with 67.194194% confidence (before attack)

Model Confidence in true class 2:     27.270490%
Model prediction was class     5 with 62.820929% confidence

Success on image 06990.png

---------------Testing image 05184.png---------------
Prior Model Confidence in true class 7:     99.882179% (before attack)
Prior Model prediction was class     7 with 99.882179% confidence (before attack)

Model Confidence in true class 7:     99.031305%
Model prediction was class     7 with 99.031305% confidence

Model Confidence in true class 7:     99.031305%
Model prediction was class     7 with 99.031305% confidence

Model Confidence in true class 7:     98.936671%
Model prediction was class     7 with 98.936671% confidence

Model Confidence in true class 7:     98.936671%
Model prediction was class     7 with 98.936671% confidence

Model Confidence in true class 7:     98.910111%
Model prediction was class     7 with 98.910111% confidence

Model Confidence in true class 7:     98.779649%
Model prediction was class     7 with 98.779649% confidence

Model Confidence in true class 7:     98.160905%
Model prediction was class     7 with 98.160905% confidence

Model Confidence in true class 7:     97.473800%
Model prediction was class     7 with 97.473800% confidence

Model Confidence in true class 7:     97.258794%
Model prediction was class     7 with 97.258794% confidence

Model Confidence in true class 7:     97.258794%
Model prediction was class     7 with 97.258794% confidence

Model Confidence in true class 7:     97.258794%
Model prediction was class     7 with 97.258794% confidence

Model Confidence in true class 7:     97.258794%
Model prediction was class     7 with 97.258794% confidence

Model Confidence in true class 7:     97.238153%
Model prediction was class     7 with 97.238153% confidence

Model Confidence in true class 7:     97.152460%
Model prediction was class     7 with 97.152460% confidence

Model Confidence in true class 7:     97.132361%
Model prediction was class     7 with 97.132361% confidence

Model Confidence in true class 7:     97.106159%
Model prediction was class     7 with 97.106159% confidence

Model Confidence in true class 7:     97.106159%
Model prediction was class     7 with 97.106159% confidence

Model Confidence in true class 7:     97.106081%
Model prediction was class     7 with 97.106081% confidence

Model Confidence in true class 7:     97.106081%
Model prediction was class     7 with 97.106081% confidence

Model Confidence in true class 7:     97.089201%
Model prediction was class     7 with 97.089201% confidence

Reached max iterations, attack unsuccessful on image 05184.png

100 samples tested so far
---------------Testing image 05622.png---------------
Prior Model Confidence in true class 8:     98.608148% (before attack)
Prior Model prediction was class     8 with 98.608148% confidence (before attack)

Model Confidence in true class 8:     53.539830%
Model prediction was class     8 with 53.539830% confidence

Model Confidence in true class 8:     17.129450%
Model prediction was class     5 with 80.279225% confidence

Success on image 05622.png

---------------Testing image 05878.png---------------
Prior Model Confidence in true class 18:     91.736794% (before attack)
Prior Model prediction was class     18 with 91.736794% confidence (before attack)

Model Confidence in true class 18:     87.996596%
Model prediction was class     18 with 87.996596% confidence

Model Confidence in true class 18:     83.820552%
Model prediction was class     18 with 83.820552% confidence

Model Confidence in true class 18:     83.460480%
Model prediction was class     18 with 83.460480% confidence

Model Confidence in true class 18:     83.460480%
Model prediction was class     18 with 83.460480% confidence

Model Confidence in true class 18:     83.460480%
Model prediction was class     18 with 83.460480% confidence

Model Confidence in true class 18:     80.724496%
Model prediction was class     18 with 80.724496% confidence

Model Confidence in true class 18:     80.724496%
Model prediction was class     18 with 80.724496% confidence

Model Confidence in true class 18:     80.724496%
Model prediction was class     18 with 80.724496% confidence

Model Confidence in true class 18:     80.724496%
Model prediction was class     18 with 80.724496% confidence

Model Confidence in true class 18:     80.724496%
Model prediction was class     18 with 80.724496% confidence

Model Confidence in true class 18:     80.724496%
Model prediction was class     18 with 80.724496% confidence

Model Confidence in true class 18:     76.926643%
Model prediction was class     18 with 76.926643% confidence

Model Confidence in true class 18:     76.926643%
Model prediction was class     18 with 76.926643% confidence

Model Confidence in true class 18:     76.926643%
Model prediction was class     18 with 76.926643% confidence

Model Confidence in true class 18:     76.926643%
Model prediction was class     18 with 76.926643% confidence

Model Confidence in true class 18:     76.926643%
Model prediction was class     18 with 76.926643% confidence

Model Confidence in true class 18:     76.926643%
Model prediction was class     18 with 76.926643% confidence

Model Confidence in true class 18:     76.191920%
Model prediction was class     18 with 76.191920% confidence

Model Confidence in true class 18:     76.191920%
Model prediction was class     18 with 76.191920% confidence

Model Confidence in true class 18:     76.191920%
Model prediction was class     18 with 76.191920% confidence

Reached max iterations, attack unsuccessful on image 05878.png

---------------Testing image 02116.png---------------
Prior Model Confidence in true class 26:     96.613151% (before attack)
Prior Model prediction was class     26 with 96.613151% confidence (before attack)

Model Confidence in true class 26:     83.577061%
Model prediction was class     26 with 83.577061% confidence

Model Confidence in true class 26:     83.577061%
Model prediction was class     26 with 83.577061% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     72.553962%
Model prediction was class     26 with 72.553962% confidence

Model Confidence in true class 26:     71.347523%
Model prediction was class     26 with 71.347523% confidence

Model Confidence in true class 26:     71.347523%
Model prediction was class     26 with 71.347523% confidence

Model Confidence in true class 26:     71.347523%
Model prediction was class     26 with 71.347523% confidence

Model Confidence in true class 26:     71.347523%
Model prediction was class     26 with 71.347523% confidence

Model Confidence in true class 26:     70.406979%
Model prediction was class     26 with 70.406979% confidence

Model Confidence in true class 26:     68.760145%
Model prediction was class     26 with 68.760145% confidence

Model Confidence in true class 26:     68.760145%
Model prediction was class     26 with 68.760145% confidence

Model Confidence in true class 26:     68.760145%
Model prediction was class     26 with 68.760145% confidence

Model Confidence in true class 26:     68.760145%
Model prediction was class     26 with 68.760145% confidence

Model Confidence in true class 26:     68.760145%
Model prediction was class     26 with 68.760145% confidence

Model Confidence in true class 26:     67.933333%
Model prediction was class     26 with 67.933333% confidence

Reached max iterations, attack unsuccessful on image 02116.png

---------------Testing image 03881.png---------------
Prior Model Confidence in true class 17:     99.911886% (before attack)
Prior Model prediction was class     17 with 99.911886% confidence (before attack)

Model Confidence in true class 17:     99.614316%
Model prediction was class     17 with 99.614316% confidence

Model Confidence in true class 17:     99.614316%
Model prediction was class     17 with 99.614316% confidence

Model Confidence in true class 17:     99.580485%
Model prediction was class     17 with 99.580485% confidence

Model Confidence in true class 17:     99.580485%
Model prediction was class     17 with 99.580485% confidence

Model Confidence in true class 17:     99.580485%
Model prediction was class     17 with 99.580485% confidence

Model Confidence in true class 17:     99.580485%
Model prediction was class     17 with 99.580485% confidence

Model Confidence in true class 17:     99.430853%
Model prediction was class     17 with 99.430853% confidence

Model Confidence in true class 17:     99.430853%
Model prediction was class     17 with 99.430853% confidence

Model Confidence in true class 17:     99.430853%
Model prediction was class     17 with 99.430853% confidence

Model Confidence in true class 17:     99.430853%
Model prediction was class     17 with 99.430853% confidence

Model Confidence in true class 17:     99.332303%
Model prediction was class     17 with 99.332303% confidence

Model Confidence in true class 17:     99.332303%
Model prediction was class     17 with 99.332303% confidence

Model Confidence in true class 17:     99.332303%
Model prediction was class     17 with 99.332303% confidence

Model Confidence in true class 17:     99.323326%
Model prediction was class     17 with 99.323326% confidence

Model Confidence in true class 17:     99.323326%
Model prediction was class     17 with 99.323326% confidence

Model Confidence in true class 17:     99.323326%
Model prediction was class     17 with 99.323326% confidence

Model Confidence in true class 17:     99.319142%
Model prediction was class     17 with 99.319142% confidence

Model Confidence in true class 17:     99.319142%
Model prediction was class     17 with 99.319142% confidence

Model Confidence in true class 17:     99.319142%
Model prediction was class     17 with 99.319142% confidence

Model Confidence in true class 17:     99.319142%
Model prediction was class     17 with 99.319142% confidence

Reached max iterations, attack unsuccessful on image 03881.png

---------------Testing image 03076.png---------------
Prior Model Confidence in true class 34:     99.958056% (before attack)
Prior Model prediction was class     34 with 99.958056% confidence (before attack)

Model Confidence in true class 34:     99.942660%
Model prediction was class     34 with 99.942660% confidence

Model Confidence in true class 34:     99.940479%
Model prediction was class     34 with 99.940479% confidence

Model Confidence in true class 34:     99.940479%
Model prediction was class     34 with 99.940479% confidence

Model Confidence in true class 34:     99.939787%
Model prediction was class     34 with 99.939787% confidence

Model Confidence in true class 34:     99.939787%
Model prediction was class     34 with 99.939787% confidence

Model Confidence in true class 34:     99.939728%
Model prediction was class     34 with 99.939728% confidence

Model Confidence in true class 34:     99.927610%
Model prediction was class     34 with 99.927610% confidence

Model Confidence in true class 34:     99.927610%
Model prediction was class     34 with 99.927610% confidence

Model Confidence in true class 34:     99.927610%
Model prediction was class     34 with 99.927610% confidence

Model Confidence in true class 34:     99.926192%
Model prediction was class     34 with 99.926192% confidence

Model Confidence in true class 34:     99.926192%
Model prediction was class     34 with 99.926192% confidence

Model Confidence in true class 34:     99.926192%
Model prediction was class     34 with 99.926192% confidence

Model Confidence in true class 34:     99.924421%
Model prediction was class     34 with 99.924421% confidence

Model Confidence in true class 34:     99.923122%
Model prediction was class     34 with 99.923122% confidence

Model Confidence in true class 34:     99.923122%
Model prediction was class     34 with 99.923122% confidence

Model Confidence in true class 34:     99.922860%
Model prediction was class     34 with 99.922860% confidence

Model Confidence in true class 34:     99.922860%
Model prediction was class     34 with 99.922860% confidence

Model Confidence in true class 34:     99.922860%
Model prediction was class     34 with 99.922860% confidence

Model Confidence in true class 34:     99.922860%
Model prediction was class     34 with 99.922860% confidence

Model Confidence in true class 34:     99.922299%
Model prediction was class     34 with 99.922299% confidence

Reached max iterations, attack unsuccessful on image 03076.png

---------------Testing image 07613.png---------------
Prior Model Confidence in true class 3:     99.397719% (before attack)
Prior Model prediction was class     3 with 99.397719% confidence (before attack)

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.207777%
Model prediction was class     3 with 99.207777% confidence

Model Confidence in true class 3:     99.166799%
Model prediction was class     3 with 99.166799% confidence

Model Confidence in true class 3:     99.119097%
Model prediction was class     3 with 99.119097% confidence

Model Confidence in true class 3:     99.119097%
Model prediction was class     3 with 99.119097% confidence

Model Confidence in true class 3:     99.119097%
Model prediction was class     3 with 99.119097% confidence

Model Confidence in true class 3:     99.075598%
Model prediction was class     3 with 99.075598% confidence

Model Confidence in true class 3:     99.044037%
Model prediction was class     3 with 99.044037% confidence

Model Confidence in true class 3:     99.040401%
Model prediction was class     3 with 99.040401% confidence

Model Confidence in true class 3:     99.027538%
Model prediction was class     3 with 99.027538% confidence

Model Confidence in true class 3:     99.027538%
Model prediction was class     3 with 99.027538% confidence

Model Confidence in true class 3:     99.027538%
Model prediction was class     3 with 99.027538% confidence

Model Confidence in true class 3:     99.020761%
Model prediction was class     3 with 99.020761% confidence

Model Confidence in true class 3:     99.020290%
Model prediction was class     3 with 99.020290% confidence

Model Confidence in true class 3:     99.020290%
Model prediction was class     3 with 99.020290% confidence

Reached max iterations, attack unsuccessful on image 07613.png

---------------Testing image 01208.png---------------
Prior Model Confidence in true class 35:     62.037265% (before attack)
Prior Model prediction was class     35 with 62.037265% confidence (before attack)

Model Confidence in true class 35:     11.046696%
Model prediction was class     37 with 34.222946% confidence

Success on image 01208.png

---------------Testing image 11425.png---------------
Prior Model Confidence in true class 38:     87.569743% (before attack)
Prior Model prediction was class     38 with 87.569743% confidence (before attack)

Model Confidence in true class 38:     79.868579%
Model prediction was class     38 with 79.868579% confidence

Model Confidence in true class 38:     77.718061%
Model prediction was class     38 with 77.718061% confidence

Model Confidence in true class 38:     77.718061%
Model prediction was class     38 with 77.718061% confidence

Model Confidence in true class 38:     77.701026%
Model prediction was class     38 with 77.701026% confidence

Model Confidence in true class 38:     77.701026%
Model prediction was class     38 with 77.701026% confidence

Model Confidence in true class 38:     77.701026%
Model prediction was class     38 with 77.701026% confidence

Model Confidence in true class 38:     76.782572%
Model prediction was class     38 with 76.782572% confidence

Model Confidence in true class 38:     76.782572%
Model prediction was class     38 with 76.782572% confidence

Model Confidence in true class 38:     74.221474%
Model prediction was class     38 with 74.221474% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.565316%
Model prediction was class     38 with 73.565316% confidence

Model Confidence in true class 38:     73.544991%
Model prediction was class     38 with 73.544991% confidence

Model Confidence in true class 38:     72.486019%
Model prediction was class     38 with 72.486019% confidence

Model Confidence in true class 38:     72.486019%
Model prediction was class     38 with 72.486019% confidence

Model Confidence in true class 38:     72.486019%
Model prediction was class     38 with 72.486019% confidence

Reached max iterations, attack unsuccessful on image 11425.png

---------------Testing image 09914.png---------------
Prior Model Confidence in true class 25:     99.731857% (before attack)
Prior Model prediction was class     25 with 99.731857% confidence (before attack)

Model Confidence in true class 25:     99.557662%
Model prediction was class     25 with 99.557662% confidence

Model Confidence in true class 25:     99.557662%
Model prediction was class     25 with 99.557662% confidence

Model Confidence in true class 25:     99.557662%
Model prediction was class     25 with 99.557662% confidence

Model Confidence in true class 25:     99.557662%
Model prediction was class     25 with 99.557662% confidence

Model Confidence in true class 25:     99.533904%
Model prediction was class     25 with 99.533904% confidence

Model Confidence in true class 25:     99.533904%
Model prediction was class     25 with 99.533904% confidence

Model Confidence in true class 25:     99.533904%
Model prediction was class     25 with 99.533904% confidence

Model Confidence in true class 25:     99.511671%
Model prediction was class     25 with 99.511671% confidence

Model Confidence in true class 25:     99.511671%
Model prediction was class     25 with 99.511671% confidence

Model Confidence in true class 25:     99.511671%
Model prediction was class     25 with 99.511671% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.450409%
Model prediction was class     25 with 99.450409% confidence

Model Confidence in true class 25:     99.446529%
Model prediction was class     25 with 99.446529% confidence

Model Confidence in true class 25:     99.446529%
Model prediction was class     25 with 99.446529% confidence

Reached max iterations, attack unsuccessful on image 09914.png

---------------Testing image 05722.png---------------
Prior Model Confidence in true class 35:     99.984360% (before attack)
Prior Model prediction was class     35 with 99.984360% confidence (before attack)

Model Confidence in true class 35:     99.936277%
Model prediction was class     35 with 99.936277% confidence

Model Confidence in true class 35:     99.936277%
Model prediction was class     35 with 99.936277% confidence

Model Confidence in true class 35:     99.936277%
Model prediction was class     35 with 99.936277% confidence

Model Confidence in true class 35:     99.936277%
Model prediction was class     35 with 99.936277% confidence

Model Confidence in true class 35:     99.936277%
Model prediction was class     35 with 99.936277% confidence

Model Confidence in true class 35:     99.936277%
Model prediction was class     35 with 99.936277% confidence

Model Confidence in true class 35:     99.923706%
Model prediction was class     35 with 99.923706% confidence

Model Confidence in true class 35:     99.920976%
Model prediction was class     35 with 99.920976% confidence

Model Confidence in true class 35:     99.915230%
Model prediction was class     35 with 99.915230% confidence

Model Confidence in true class 35:     99.908864%
Model prediction was class     35 with 99.908864% confidence

Model Confidence in true class 35:     99.908268%
Model prediction was class     35 with 99.908268% confidence

Model Confidence in true class 35:     99.907947%
Model prediction was class     35 with 99.907947% confidence

Model Confidence in true class 35:     99.907947%
Model prediction was class     35 with 99.907947% confidence

Model Confidence in true class 35:     99.904889%
Model prediction was class     35 with 99.904889% confidence

Model Confidence in true class 35:     99.904889%
Model prediction was class     35 with 99.904889% confidence

Model Confidence in true class 35:     99.904889%
Model prediction was class     35 with 99.904889% confidence

Model Confidence in true class 35:     99.904889%
Model prediction was class     35 with 99.904889% confidence

Model Confidence in true class 35:     99.904174%
Model prediction was class     35 with 99.904174% confidence

Model Confidence in true class 35:     99.902689%
Model prediction was class     35 with 99.902689% confidence

Model Confidence in true class 35:     99.902284%
Model prediction was class     35 with 99.902284% confidence

Reached max iterations, attack unsuccessful on image 05722.png

110 samples tested so far
---------------Testing image 11724.png---------------
Prior Model Confidence in true class 3:     99.544275% (before attack)
Prior Model prediction was class     3 with 99.544275% confidence (before attack)

Model Confidence in true class 3:     62.872422%
Model prediction was class     3 with 62.872422% confidence

Model Confidence in true class 3:     62.872422%
Model prediction was class     3 with 62.872422% confidence

Model Confidence in true class 3:     31.258681%
Model prediction was class     5 with 32.896712% confidence

Success on image 11724.png

---------------Testing image 10427.png---------------
Prior Model Confidence in true class 8:     56.966478% (before attack)
Prior Model prediction was class     8 with 56.966478% confidence (before attack)

Model Confidence in true class 8:     4.021657%
Model prediction was class     7 with 80.873656% confidence

Success on image 10427.png

---------------Testing image 12083.png---------------
Prior Model Confidence in true class 12:     99.955887% (before attack)
Prior Model prediction was class     12 with 99.955887% confidence (before attack)

Model Confidence in true class 12:     99.884570%
Model prediction was class     12 with 99.884570% confidence

Model Confidence in true class 12:     99.858838%
Model prediction was class     12 with 99.858838% confidence

Model Confidence in true class 12:     99.854928%
Model prediction was class     12 with 99.854928% confidence

Model Confidence in true class 12:     99.854928%
Model prediction was class     12 with 99.854928% confidence

Model Confidence in true class 12:     99.848878%
Model prediction was class     12 with 99.848878% confidence

Model Confidence in true class 12:     99.835593%
Model prediction was class     12 with 99.835593% confidence

Model Confidence in true class 12:     99.828452%
Model prediction was class     12 with 99.828452% confidence

Model Confidence in true class 12:     99.828452%
Model prediction was class     12 with 99.828452% confidence

Model Confidence in true class 12:     99.828452%
Model prediction was class     12 with 99.828452% confidence

Model Confidence in true class 12:     99.824059%
Model prediction was class     12 with 99.824059% confidence

Model Confidence in true class 12:     99.824059%
Model prediction was class     12 with 99.824059% confidence

Model Confidence in true class 12:     99.822623%
Model prediction was class     12 with 99.822623% confidence

Model Confidence in true class 12:     99.821115%
Model prediction was class     12 with 99.821115% confidence

Model Confidence in true class 12:     99.821115%
Model prediction was class     12 with 99.821115% confidence

Model Confidence in true class 12:     99.814069%
Model prediction was class     12 with 99.814069% confidence

Model Confidence in true class 12:     99.808061%
Model prediction was class     12 with 99.808061% confidence

Model Confidence in true class 12:     99.808061%
Model prediction was class     12 with 99.808061% confidence

Model Confidence in true class 12:     99.808061%
Model prediction was class     12 with 99.808061% confidence

Model Confidence in true class 12:     99.807173%
Model prediction was class     12 with 99.807173% confidence

Model Confidence in true class 12:     99.805838%
Model prediction was class     12 with 99.805838% confidence

Reached max iterations, attack unsuccessful on image 12083.png

---------------Testing image 04857.png---------------
Prior Model Confidence in true class 38:     99.969482% (before attack)
Prior Model prediction was class     38 with 99.969482% confidence (before attack)

Model Confidence in true class 38:     99.918169%
Model prediction was class     38 with 99.918169% confidence

Model Confidence in true class 38:     99.918169%
Model prediction was class     38 with 99.918169% confidence

Model Confidence in true class 38:     99.896336%
Model prediction was class     38 with 99.896336% confidence

Model Confidence in true class 38:     99.890780%
Model prediction was class     38 with 99.890780% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.888629%
Model prediction was class     38 with 99.888629% confidence

Model Confidence in true class 38:     99.885726%
Model prediction was class     38 with 99.885726% confidence

Model Confidence in true class 38:     99.885726%
Model prediction was class     38 with 99.885726% confidence

Model Confidence in true class 38:     99.884194%
Model prediction was class     38 with 99.884194% confidence

Model Confidence in true class 38:     99.884194%
Model prediction was class     38 with 99.884194% confidence

Model Confidence in true class 38:     99.884194%
Model prediction was class     38 with 99.884194% confidence

Model Confidence in true class 38:     99.884194%
Model prediction was class     38 with 99.884194% confidence

Model Confidence in true class 38:     99.884194%
Model prediction was class     38 with 99.884194% confidence

Model Confidence in true class 38:     99.883229%
Model prediction was class     38 with 99.883229% confidence

Reached max iterations, attack unsuccessful on image 04857.png

---------------Testing image 00882.png---------------
Prior Model Confidence in true class 10:     99.572718% (before attack)
Prior Model prediction was class     10 with 99.572718% confidence (before attack)

Model Confidence in true class 10:     88.735247%
Model prediction was class     10 with 88.735247% confidence

